TableName | RecordCount
--------------------------------------------------
DimPassenger | 97743
DimCountry | 262
DimAirport | 8828
DimContinent | 13
DimPilot | 94052
FactFlight | 95453
--------------------------------------------------
Gender | PassengerCount | Percentage
--------------------------------------------------
Male | 49166 | 50.30
Female | 48577 | 49.70
--------------------------------------------------
CountryName | 01-2022 | 02-2022 | 03-2022 | 04-2022 | 05-2022 | 06-2022 | 07-2022 | 08-2022 | 09-2022 | 10-2022 | 11-2022 | 12-2022
Palau | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0
Panama | 36 | 36 | 32 | 28 | 28 | 41 | 34 | 35 | 38 | 32 | 38 | 28
Papua New Guinea | 370 | 331 | 353 | 331 | 349 | 328 | 385 | 322 | 348 | 340 | 322 | 362
Paraguay | 12 | 18 | 21 | 11 | 15 | 10 | 10 | 8 | 15 | 13 | 13 | 16
Peru | 36 | 44 | 38 | 43 | 56 | 40 | 43 | 44 | 50 | 31 | 44 | 42
Philippines | 69 | 67 | 63 | 63 | 89 | 58 | 65 | 80 | 59 | 58 | 76 | 61
Poland | 16 | 23 | 17 | 19 | 18 | 14 | 10 | 21 | 17 | 19 | 18 | 19
Portugal | 22 | 17 | 28 | 22 | 23 | 19 | 8 | 21 | 26 | 27 | 25 | 22
Puerto Rico | 10 | 11 | 19 | 9 | 13 | 14 | 10 | 17 | 11 | 15 | 11 | 20
Qatar | 3 | 4 | 1 | 4 | 3 | 2 | 7 | 5 | 3 | 3 | 2 | 2
R├⌐union | 1 | 3 | 2 | 1 | 0 | 1 | 3 | 0 | 2 | 2 | 2 | 3
Romania | 14 | 9 | 15 | 13 | 22 | 19 | 15 | 15 | 9 | 16 | 14 | 24
Russian Federation | 208 | 164 | 177 | 185 | 183 | 182 | 206 | 184 | 191 | 181 | 193 | 193
Rwanda | 5 | 1 | 5 | 8 | 4 | 6 | 6 | 2 | 2 | 5 | 1 | 5
Saint Barth├⌐lemy | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 2 | 0 | 3 | 2
Saint Kitts and Nevis | 2 | 2 | 3 | 0 | 0 | 0 | 2 | 3 | 3 | 5 | 2 | 1
Saint Lucia | 2 | 3 | 1 | 1 | 2 | 0 | 1 | 3 | 0 | 1 | 3 | 1
Saint Martin (French part) | 1 | 1 | 0 | 3 | 1 | 4 | 1 | 3 | 4 | 1 | 4 | 1
Saint Pierre and Miquelon | 3 | 2 | 2 | 1 | 3 | 2 | 2 | 4 | 2 | 2 | 2 | 0
Saint Vincent and the Grenadines | 2 | 3 | 4 | 2 | 6 | 6 | 5 | 4 | 5 | 1 | 2 | 6
Samoa | 3 | 5 | 1 | 4 | 3 | 5 | 3 | 6 | 4 | 3 | 3 | 3
Sao Tome and Principe | 7 | 0 | 2 | 2 | 1 | 5 | 3 | 2 | 0 | 1 | 5 | 1
Saudi Arabia | 33 | 28 | 33 | 33 | 31 | 38 | 32 | 29 | 23 | 32 | 28 | 27
Senegal | 17 | 4 | 9 | 9 | 16 | 11 | 14 | 14 | 13 | 27 | 16 | 9
Serbia | 2 | 2 | 4 | 3 | 6 | 5 | 1 | 5 | 5 | 2 | 3 | 5
Seychelles | 7 | 4 | 4 | 6 | 4 | 3 | 4 | 7 | 8 | 3 | 7 | 5
Sierra Leone | 5 | 4 | 8 | 7 | 5 | 7 | 11 | 10 | 6 | 6 | 8 | 7
Singapore | 1 | 4 | 4 | 4 | 8 | 2 | 4 | 0 | 2 | 7 | 4 | 4
Sint Maarten (Dutch part) | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 2 | 1
Slovakia | 8 | 7 | 5 | 6 | 7 | 8 | 5 | 3 | 14 | 2 | 5 | 5
Slovenia | 3 | 3 | 3 | 2 | 5 | 2 | 2 | 1 | 1 | 2 | 5 | 3
Solomon Islands | 33 | 31 | 41 | 47 | 34 | 34 | 38 | 41 | 35 | 29 | 34 | 33
Somalia | 17 | 17 | 20 | 22 | 20 | 21 | 20 | 24 | 15 | 13 | 15 | 22
South Africa | 88 | 73 | 77 | 74 | 80 | 92 | 91 | 88 | 77 | 78 | 73 | 85
South Sudan | 3 | 6 | 1 | 4 | 3 | 3 | 1 | 3 | 4 | 10 | 2 | 3
Spain | 53 | 38 | 58 | 65 | 53 | 59 | 42 | 53 | 51 | 54 | 43 | 37
Sri Lanka | 24 | 38 | 33 | 26 | 30 | 20 | 32 | 45 | 20 | 30 | 31 | 32
Sudan | 29 | 24 | 19 | 18 | 23 | 17 | 19 | 21 | 33 | 25 | 20 | 16
Suriname | 10 | 14 | 14 | 10 | 10 | 13 | 9 | 15 | 15 | 18 | 17 | 14
Sweden | 46 | 48 | 53 | 27 | 51 | 43 | 67 | 39 | 41 | 62 | 54 | 48
Switzerland | 12 | 6 | 9 | 14 | 12 | 14 | 13 | 21 | 10 | 14 | 11 | 10
Syrian Arab Republic | 11 | 7 | 8 | 3 | 6 | 10 | 6 | 10 | 7 | 10 | 4 | 3
Tajikistan | 2 | 2 | 3 | 4 | 2 | 3 | 6 | 4 | 4 | 6 | 2 | 5
Thailand | 40 | 41 | 38 | 53 | 40 | 37 | 41 | 41 | 40 | 37 | 39 | 53
Timor-Leste | 9 | 8 | 14 | 5 | 7 | 10 | 7 | 9 | 8 | 3 | 11 | 8
Togo | 2 | 3 | 0 | 1 | 3 | 1 | 1 | 4 | 2 | 3 | 2 | 1
Tonga | 6 | 6 | 6 | 6 | 8 | 6 | 7 | 5 | 6 | 5 | 2 | 6
Trinidad and Tobago | 0 | 1 | 1 | 3 | 1 | 2 | 2 | 1 | 0 | 2 | 5 | 5
Tunisia | 11 | 8 | 7 | 7 | 10 | 9 | 7 | 10 | 10 | 10 | 10 | 6
Turkey | 61 | 60 | 54 | 58 | 59 | 53 | 64 | 70 | 55 | 63 | 51 | 56
Turkmenistan | 6 | 4 | 3 | 6 | 4 | 8 | 3 | 2 | 4 | 5 | 5 | 4
Turks and Caicos Islands | 6 | 2 | 6 | 4 | 5 | 7 | 6 | 3 | 3 | 9 | 6 | 11
Tuvalu | 1 | 1 | 2 | 3 | 1 | 0 | 1 | 2 | 0 | 2 | 1 | 2
Uganda | 14 | 12 | 13 | 8 | 16 | 8 | 21 | 10 | 17 | 14 | 12 | 9
Ukraine | 38 | 34 | 34 | 23 | 37 | 24 | 40 | 32 | 37 | 37 | 36 | 26
United Arab Emirates | 11 | 11 | 18 | 14 | 14 | 17 | 11 | 13 | 16 | 11 | 11 | 11
United Kingdom | 117 | 119 | 117 | 125 | 121 | 106 | 103 | 115 | 111 | 120 | 126 | 115
United States | 1933 | 1673 | 1942 | 1751 | 1866 | 1803 | 1906 | 1871 | 1805 | 1902 | 1857 | 1802
United States Minor Outlying Islands | 2 | 1 | 5 | 3 | 4 | 3 | 2 | 1 | 2 | 1 | 2 | 1
Uruguay | 17 | 17 | 11 | 7 | 20 | 17 | 10 | 11 | 6 | 18 | 9 | 20
Uzbekistan | 10 | 18 | 12 | 12 | 10 | 12 | 8 | 10 | 5 | 13 | 7 | 11
Vanuatu | 25 | 24 | 24 | 26 | 21 | 35 | 29 | 41 | 35 | 28 | 13 | 26
Viet Nam | 30 | 25 | 34 | 19 | 36 | 38 | 34 | 30 | 32 | 33 | 34 | 23
Wallis and Futuna | 2 | 2 | 0 | 0 | 1 | 4 | 4 | 0 | 2 | 0 | 2 | 0
Western Sahara | 4 | 3 | 3 | 8 | 4 | 3 | 3 | 3 | 4 | 6 | 2 | 6
Yemen | 13 | 25 | 15 | 14 | 14 | 18 | 16 | 17 | 13 | 16 | 11 | 14
Zambia | 22 | 18 | 14 | 15 | 24 | 19 | 22 | 20 | 19 | 12 | 17 | 20
Zimbabwe | 9 | 11 | 18 | 11 | 13 | 9 | 10 | 19 | 10 | 14 | 11 | 13
--------------------------------------------------
CountryName | FlightCount
--------------------------------------------------
United States | 22111
Australia | 6463
Canada | 5492
Papua New Guinea | 4141
Brazil | 3692
China | 2779
Indonesia | 2335
Russian Federation | 2247
Colombia | 1745
India | 1473
United Kingdom | 1395
France | 1376
Argentina | 1241
Germany | 1146
Congo | 1140
Mexico | 1086
Japan | 1013
South Africa | 976
Philippines | 808
Pakistan | 731
Turkey | 704
Malaysia | 687
Madagascar | 663
Italy | 645
Spain | 606
Chile | 605
New Zealand | 594
Sweden | 579
Ethiopia | 570
French Polynesia | 534
Norway | 514
Peru | 511
Thailand | 500
Greece | 479
Myanmar | 462
Algeria | 448
Angola | 445
Kenya | 443
Nepal | 441
Solomon Islands | 430
Iceland | 409
Panama | 406
Bahamas | 402
Ukraine | 398
Mozambique | 397
Afghanistan | 372
Viet Nam | 368
Saudi Arabia | 367
Sri Lanka | 361
Greenland | 359
Marshall Islands | 352
Cuba | 352
Finland | 338
Vanuatu | 327
Gabon | 326
Costa Rica | 313
Honduras | 312
Egypt | 306
Fiji | 300
Guyana | 288
Ecuador | 287
Kazakhstan | 284
Nigeria | 278
Burkina Faso | 274
C├┤te d'Ivoire | 274
Sudan | 264
Mongolia | 263
Belize | 262
Morocco | 260
Portugal | 260
Kiribati | 252
Guatemala | 245
Chad | 243
Central African Republic | 241
Cameroon | 229
Somalia | 226
Zambia | 222
Libya | 221
Poland | 211
Oman | 201
Mauritania | 199
Ireland | 193
Yemen | 186
Romania | 185
Denmark | 184
Bangladesh | 180
Lesotho | 177
Botswana | 174
Lao People's Democratic Republic | 171
Nicaragua | 167
Israel | 163
Uruguay | 163
Paraguay | 162
Netherlands | 162
Liberia | 160
Puerto Rico | 160
Senegal | 159
Suriname | 159
United Arab Emirates | 158
Uganda | 154
New Caledonia | 151
Dominican Republic | 150
Zimbabwe | 148
Switzerland | 146
Czechia | 141
Maldives | 133
Mali | 132
Uzbekistan | 128
Cambodia | 124
Iraq | 123
Malawi | 122
Guinea | 121
Cabo Verde | 115
Croatia | 111
Bulgaria | 110
Tunisia | 105
Timor-Leste | 99
Cook Islands | 98
Austria | 91
Azerbaijan | 87
Syrian Arab Republic | 85
Sierra Leone | 84
French Guiana | 83
Jamaica | 83
Slovakia | 75
Belgium | 72
Tonga | 69
Turks and Caicos Islands | 68
Belarus | 67
Hungary | 65
Lithuania | 63
Seychelles | 62
Equatorial Guinea | 61
Niger | 60
Haiti | 56
Guadeloupe | 56
Cyprus | 54
Turkmenistan | 54
Estonia | 52
Benin | 51
Rwanda | 50
Western Sahara | 49
Eritrea | 48
Comoros | 47
Bosnia and Herzegovina | 47
Bhutan | 46
Saint Vincent and the Grenadines | 46
American Samoa | 45
Montenegro | 45
Djibouti | 44
Falkland Islands (Malvinas) | 44
Singapore | 44
Serbia | 43
Samoa | 43
Northern Mariana Islands | 43
Tajikistan | 43
South Sudan | 43
Jordan | 43
Ghana | 41
Burundi | 39
Qatar | 39
Kyrgyzstan | 38
Hong Kong | 36
Georgia | 35
Latvia | 34
Slovenia | 32
Sao Tome and Principe | 29
United States Minor Outlying Islands | 27
Cayman Islands | 27
Dominica | 27
Guam | 26
North Macedonia | 26
Saint Pierre and Miquelon | 25
Lebanon | 25
Mauritius | 24
Saint Martin (French part) | 24
Saint Kitts and Nevis | 23
Trinidad and Tobago | 23
Togo | 23
Grenada | 23
Kuwait | 23
Eswatini | 23
Bermuda | 21
Armenia | 21
Antigua and Barbuda | 20
R├⌐union | 20
